id,name,type_code,is_intervention,is_international
393,Zambezi Conquest,3,False,
394,First Franco-Dahomeyan,3,False,
395,Franco-Jolof,3,False,
396,Second Franco-Dahomeyan,3,False,
397,Belgian-Tib,3,False,
398,Third British-Ashanti,3,False,
399,Melilla War,3,False,
400,Mahdist-Italian,3,False,
401,Second Franco-Madagascan,3,False,
402,Second Dutch-Bali,3,False,
403,Portuguese-Gaza Empire,3,False,
404,Second Spanish-Cuban,2,False,
405,Japan-Taiwanese,2,False,
406,Mazrui Rebellion,3,False,
407,Second Italian-Ethiopian,3,False,
409,Second British-Mahdi,3,False,
410,Spanish-Philippine,2,False,
411,British-South Nigerian,3,False,
412,British-Pathan,2,False,
413,Hut Tax,2,False,
414,American-Philippine,2,False,
415,French Conquest of Chad,3,False,
416,Second Boer War,3,False,
417,Last Ashanti War,3,False,
419,Somali Rebellion,2,True,
420,Bailundu Revolt,3,False,
421,Kuanhama Rebellion,3,False,
422,British Conquest of Kano & Sokoto,3,False,
423,South West African Revolt,2,False,
424,Second Dutch-Achinese,2,False,
425,Younghusband Expedition,3,False,
426,Maji-Maji Revolt,2,False,
427,Sokoto Uprising,2,False,
429,Third British-Zulu,2,False,
430,Dembos War,3,False,
431,Anti-Foreign Revolt,3,False,
432,Japan-Korean Guerrillas,2,False,
433,French Conquest of Wadai,3,False,
434,French-Berber,2,False,
435,First Sino-Tibetan,2,False,
436,Moroccan Berber,2,True,
437,Moro Rebellion,2,False,
440,Second Sino-Tibetan,3,False,
441,Caco Revolt,2,False,
442,Third British-Afghan,3,False,
443,First British-Waziristan,3,False,
444,Franco-Syrian,3,False,
445,Iraqi-British,2,False,
446,Conquest of Mongolia,3,True,
447,Italian-Sanusi,2,False,
449,Rif Rebellion,2,True,
450,Moplah Rebellion,2,False,
451,Franco-Druze,2,False,
452,Yen Bai Uprising,2,False,
